countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Spain,2002,7.955293052,30902,41364726,309.02
Sri Lanka,2002,0.574348647,5498,19134096,54.98
Sudan,2002,0.282852826,2602,28488328,26.02
Sweden,2002,6.349428961,36467,8920694,364.67
Sweden,2002,6.349428961,36467,8901831,364.67
Switzerland,2002,5.999315711,52904,7254975,529.04
Tajikistan,2002,0.290481521,1924,6285809,19.24
Tanzania,2002,0.096576235,1638,35832494,16.38
Thailand,2002,3.211579071,9705,64642931,97.05
Togo,2002,0.25182863,1182,5050919,11.82
Trinidad and Tobago,2002,22.33406691,18495,1301576,184.95
Tunisia,2002,2.084139185,8079,9634180,80.79
Turkey,2002,3.341153036,12901,65446165,129.01
Turkmenistan,2002,8.652840222,6425,4600093,64.25
Ukraine,2002,6.13177324,7273,48032368,72.73
United Arab Emirates,2002,23.87797207,113817,3254691,1138.17
United Kingdom,2002,9.436408323,32992,59339971,329.92
United States,2002,20.67307732,46267,287506847,462.67
United States,2002,20.67307732,46267,288467308,462.67
Uruguay,2002,1.369604838,11315,3325379,113.15
Uzbekistan,2002,5.015052127,4149,25275028,41.49
Vietnam,2002,0.837776853,2970,80500625,29.7
Zambia,2002,0.176257955,2071,10693471,20.71
Zimbabwe,2002,0.951720516,2054,12607791,20.54
Cambodia,2003,0.185008407,1537,13024171,15.37
Cameroon,2003,0.223963341,2436,16783366,24.36
Canada,2003,18.57847144,39441,31608562,394.41
Chile,2003,3.473783957,15006,15959793,150.06
China,2003,3.408222183,5183,1306343911,51.83
China,2003,3.408222183,5183,1293396654,51.83
Colombia,2003,1.345797191,8838,41731914,88.38
Costa Rica,2003,1.582304071,9717,4160438,97.17
Cote d'Ivoire,2003,0.290353579,2642,17455501,26.42
Croatia,2003,5.328451186,17752,4456587,177.52
Cuba,2003,2.254812758,5201,11208029,52.01
Cyprus,2003,7.60921543,26218,998134,262.18
Czech Republic,2003,12.40794385,21415,10199327,214.15
Denmark,2003,11.25591582,41850,5384487,418.5
Dominican Republic,2003,2.370706373,8457,8995398,84.57
Ecuador,2003,2.012690411,7894,12987992,78.94
El Salvador,2003,1.077492099,6744,6008523,67.44
Estonia,2003,12.44601683,17378,1351955,173.78
Ethiopia,2003,0.067146083,714,70784012,7.14
Finland,2003,13.90031338,34813,5210595,348.13
France,2003,7.068572655,34707,60183884,347.07
Gabon,2003,3.4734044,16826,1317484,168.26
Georgia,2003,0.815776389,5792,4569880,57.92
Germany,2003,11.04184804,37995,82484111,379.95
Ghana,2003,0.36373868,2244,20610897,22.44
Greece,2003,9.701830571,26191,11111072,261.91
Guatemala,2003,0.852507859,5906,12098576,59.06
Haiti,2003,0.190462382,1695,9075399,16.95
Honduras,2003,0.946945841,3757,6609337,37.57
Hungary,2003,6.106985968,18598,10134513,185.98
Iceland,2003,10.34787652,32897,289724,328.97
India,2003,0.985420187,2834,1108027848,28.34
India,2003,0.985420187,2834,1105885689,28.34
Indonesia,2003,1.436685758,6161,221839235,61.61
Iraq,2003,3.542530295,6644,25914982,66.44
Ireland,2003,11.27017994,48584,4010506,485.84
Israel,2003,9.829827708,23910,6352106,239.1
Italy,2003,8.452377787,35870,57864332,358.7
Jamaica,2003,3.932508882,7455,2646269,74.55
Japan,2003,10.03675766,33456,126184149,334.56
Jordan,2003,3.146701744,9555,5096790,95.55
Kazakhstan,2003,10.78751932,13279,14959072,132.79
Kenya,2003,0.192950702,2297,33805301,22.97
Kuwait,2003,27.48717865,83176,2126786,831.76
Latvia,2003,3.357079359,13305,2334225,133.05
Lebanon,2003,5.005443538,11327,3935421,113.27
Libya,2003,8.686146985,23398,5541062,233.98
Lithuania,2003,3.687926667,13907,3447170,139.07
Luxembourg,2003,23.27547829,50137,446340,501.37
Malaysia,2003,6.334617651,15223,25060184,152.23
Malta,2003,6.60288938,21341,404787,213.41
Mauritius,2003,2.530566736,12693,1233594,126.93
Mexico,2003,4.163045855,13674,103902569,136.74
Moldova,2003,1.055762546,3096,3896409,30.96
Mongolia,2003,3.242992509,5527,2485177,55.27
Morocco,2003,1.256382835,5440,29770316,54.4
Mozambique,2003,0.094168347,615,19721009,6.15
Myanmar,2003,0.205358387,2148,45843675,21.48
Namibia,2003,0.942497363,6153,2008342,61.53
Nepal,2003,0.112623495,1727,26143530,17.27
Netherlands,2003,11.09960759,40638,16137709,406.38
New Zealand,2003,9.073213729,29236,4020769,292.36
Nicaragua,2003,0.827201857,3514,5288271,35.14
Niger,2003,0.05952189,750,12118322,7.5
Nigeria,2003,0.767626661,3435,133067097,34.35
Norway,2003,9.610670343,77557,4558660,775.57
Oman,2003,13.4272793,44004,2335967,440.04
Pakistan,2003,0.795450319,3717,153139895,37.17
Panama,2003,1.893217644,10380,3125565,103.8
Paraguay,2003,0.719311194,5876,5675754,58.76
Peru,2003,0.969071756,6611,26916342,66.11
Philippines,2003,0.845634499,4608,82293990,46.08
Poland,2003,8.283696259,15142,38198151,151.42
Portugal,2003,6.144416313,24430,10465808,244.3
Qatar,2003,59.97705001,131779,653500,1317.79
Romania,2003,4.766766951,12075,21925307,120.75
Saudi Arabia,2003,14.47557023,41641,22334371,416.41
Senegal,2003,0.450276701,1934,10297956,19.34
Serbia,2003,5.191781709,9098,9949713,90.98
Singapore,2003,7.317113352,42545,4086050,425.45
Slovenia,2003,8.180201557,22476,1994426,224.76
South Africa,2003,8.462666127,9834,46631364,98.34
Spain,2003,7.923850978,31315,42039800,313.15
Sri Lanka,2003,0.569968939,5756,19369853,57.56
Sudan,2003,0.307947861,2748,29146386,27.48
Sweden,2003,6.392766826,37252,8951422,372.52
Sweden,2003,6.392766826,37252,8935392,372.52
Switzerland,2003,6.122429552,52539,7307078,525.39
Tajikistan,2003,0.313551788,2080,6336724,20.8
Tanzania,2003,0.099227973,1690,36788281,16.9
Thailand,2003,3.437636236,10330,65370277,103.3
Togo,2003,0.334742491,1206,5170252,12.06
Trinidad and Tobago,2003,24.84224518,21224,1306065,212.24
Tunisia,2003,2.10524395,8433,9722180,84.33
Turkey,2003,3.525159841,13449,66339433,134.49
Turkmenistan,2003,9.562415996,7435,4647912,74.35
Ukraine,2003,6.414036561,8028,47643278,80.28
United Arab Emirates,2003,28.24131969,115919,3400959,1159.19
United Kingdom,2003,9.593803944,33977,59604347,339.77
United States,2003,20.65775489,47158,290027624,471.58
United States,2003,20.65775489,47158,291290823,471.58
Uruguay,2003,1.361492887,11363,3323124,113.63
Uzbekistan,2003,4.894880769,4274,25489492,42.74
Vietnam,2003,0.921801788,3148,81377056,31.48
Zambia,2003,0.181718041,2162,10938261,21.62
Zimbabwe,2003,0.839672836,1722,12612956,17.22
Cambodia,2004,0.187079344,1671,13193961,16.71
Cameroon,2004,0.227020689,2458,17165267,24.58
Canada,2004,18.33625945,40280,31943605,402.8
Chile,2004,3.696527383,15744,16132209,157.44
China,2004,3.900962896,5627,1314007478,56.27
China,2004,3.900962896,5627,1300552134,56.27
Colombia,2004,1.276828098,9196,42385712,91.96
Comoros,2004,0.239265406,1377,625876,13.77
Costa Rica,2004,1.623583168,9984,4235605,99.84
Cote d'Ivoire,2004,0.40756944,2612,17731840,26.12
Croatia,2004,5.256655176,18474,4449522,184.74
Cuba,2004,2.206983309,5170,11234970,51.7
Cyprus,2004,7.70751581,27052,1015806,270.52
