CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue
El Salvador,1989,5455.978672,18,5258654,0.491182761,4600
El Salvador,1990,5463.59588,0,5332842,0.469491386,4677
El Salvador,1991,5926.358908,20.7,5413269,0.586459417,4764
El Salvador,1992,6101.759916,0,5498489,0.608760106,5037
El Salvador,1993,6336.522853,0,5584047,0.682032716,5359
El Salvador,1994,6625.277163,0,5663820,0.817363566,5619
El Salvador,1995,6961.731599,12.5,5733401,0.88423955,5886
El Salvador,1996,6582.033452,14.1,5791403,0.793199453,5896
El Salvador,1997,7213.316558,0,5839103,0.942476152,6067
El Salvador,1998,7354.720077,20,5878097,0.991859973,6212
El Salvador,1999,7570.679316,16.3,5911094,0.964798922,6341
El Salvador,2000,7863.10853,12.2,5940305,0.964766204,6409
El Salvador,2001,8173.061671,13.5,5966027,0.991276774,6481
El Salvador,2002,8284.624936,14,5988233,0.998407714,6613
El Salvador,2003,8603.052917,14.8,6008523,1.077492099,6744
El Salvador,2004,8491.445137,10.9,6028792,1.04214256,6851
El Salvador,2005,8695.247256,10.4,6050513,1.053128269,7070
El Salvador,2006,9090.664335,6.9,6074487,1.109648702,7329
El Salvador,2007,8561.818086,4.5,6100868,1.125321904,7596
El Salvador,2008,8560.575454,6.7,6129628,1.048826994,7661
El Salvador,2009,7982.793634,6.4,6160423,1.028575109,7392
El Salvador,2010,8018.070705,5.5,6192993,1.02472478,7466
El Salvador,2011,8059.015163,4.5,6227491,1.049723192,7607
El Salvador,2012,7898.444919,4.1,6264129,1.045730153,7726
El Salvador,2013,7421.462455,3.2,6302723,0.974855195,7845
Equatorial Guinea,2004,12226.6172,0,589794,7.19336329,34699
Equatorial Guinea,2005,19180.69976,0,607739,6.217000279,36733
Equatorial Guinea,2006,22064.52273,0,625777,5.998619065,37611
Equatorial Guinea,2007,24667.194,0,643936,5.778796542,42173
Estonia,1990,72486.67314,0,1567631,23.68258549,12291
Estonia,1991,67935.37325,0,1552370,21.98512803,11117
Estonia,1992,49813.13527,0,1527660,16.1194303,9726
Estonia,1993,42324.70071,1.3,1497364,12.81268254,9131
Estonia,1994,43640.26462,0,1467016,13.65799876,9175
Estonia,1995,42152.13411,0,1440710,12.70320191,9951
Estonia,1996,47023.46217,0,1419727,13.34905111,10636
Estonia,1997,46646.95039,0,1403188,13.11106012,12027
Estonia,1998,42974.83493,0,1390414,12.0237415,12643
Estonia,1999,40271.97983,0,1379962,11.20329966,12636
Estonia,2000,39247.85857,0,1370749,10.9799697,14074
Estonia,2001,41187.78515,0,1362823,11.28658548,15060
Estonia,2002,39725.52863,0,1356644,11.01682881,16077
Estonia,2003,44171.18493,2.5,1351955,12.44601683,17378
Estonia,2004,45280.18934,1,1348449,12.67749658,18582
Estonia,2005,44733.54993,0.7,1345857,12.64068656,20441
Estonia,2006,43903.65801,0.7,1344038,12.18352161,22674
Estonia,2007,49353.62623,0.5,1342873,14.93346167,24542
Estonia,2008,47746.00826,0.5,1342145,13.34066609,23275
Estonia,2009,42437.62394,0.5,1341629,10.9363221,19886
Estonia,2010,49110.43352,0.7,1341140,14.27432578,20382
Estonia,2011,49284.7905,1,1340537,14.37555927,21997
Estonia,2012,48548.12971,0.7,1339762,13.53883215,23026
Estonia,2013,53768.73607,1,1338832,14.90329382,23436
Ethiopia,1971,5531.933689,0,29777985,0.063239704,809
Ethiopia,1972,5511.511551,0,30642920,0.046667208,832
Ethiopia,1973,5516.97453,0,31503206,0.056434499,840
Ethiopia,1974,5511.74822,0,32289683,0.054510752,831
Ethiopia,1975,5488.805222,0,32958964,0.037109108,813
Ethiopia,1976,5487.357434,0,33486288,0.035440082,814
Ethiopia,1977,5482.589317,0,33903618,0.03113359,818
Ethiopia,1978,5496.579985,0,34294030,0.040169328,795
Ethiopia,1979,5502.851696,0,34773640,0.053313752,836
Ethiopia,1980,5506.3396,0,35426282,0.051538019,864
Ethiopia,1981,5513.576115,0,36282554,0.051494798,844
Ethiopia,1982,5498.642788,0,37319328,0.039688713,820
Ethiopia,1983,5503.26927,0,38500829,0.047922469,836
Ethiopia,1984,5488.534495,0,39768079,0.0417594,800
Ethiopia,1985,5486.962788,0,41077517,0.044085665,735
Ethiopia,1986,5505.667518,0,42417873,0.052117954,769
Ethiopia,1987,5535.918316,0,43802479,0.058730466,819
Ethiopia,1988,5531.299532,0,45240322,0.058756834,810
Ethiopia,1989,5535.904886,0,46747612,0.060141608,800
Ethiopia,1990,5546.631064,0,48333261,0.062091745,766
Ethiopia,1991,5537.061764,0,49998845,0.059355194,684
Ethiopia,1992,5471.389467,0,51730288,0.05687239,603
Ethiopia,1993,5499.518747,0,53502211,0.055943427,600
Ethiopia,1994,5517.344856,0,55281054,0.039632586,633
Ethiopia,1995,5534.059117,67.1,57042197,0.043721131,650
Ethiopia,1996,5544.09216,0,58774378,0.04724277,689
Ethiopia,1997,5532.518166,0,60481739,0.04886033,723
Ethiopia,1998,5536.998126,0,62174171,0.050122603,704
Ethiopia,1999,5529.779346,55.5,63868806,0.047879802,688
Ethiopia,2000,5538.738229,0,65577897,0.052057802,703
Ethiopia,2001,5583.111402,0,67303731,0.062246193,720
Ethiopia,2002,5585.39189,0,69040669,0.062846306,735
Ethiopia,2003,5600.374704,0,70784012,0.067146083,714
Ethiopia,2004,5607.174334,36.4,72526620,0.069127783,727
Ethiopia,2005,5588.322258,0,74263861,0.064581197,788
Ethiopia,2006,5602.423673,0,75993403,0.067430494,844
Ethiopia,2007,5624.759359,0,77718436,0.071954632,905
Ethiopia,2008,5642.745894,0,79446419,0.076517077,965
Ethiopia,2009,5648.608342,0,81187751,0.075314077,1026
Ethiopia,2010,5656.161182,33.6,82949541,0.072925194,1097
Ethiopia,2011,5694.999391,0,84734262,0.08305635,1199
Ethiopia,2012,5706.729084,0,86538534,0.08815631,1287
Ethiopia,2013,5753.69192,0,88356373,0.106232779,1365
Finland,1969,42664.92596,0,4595003,8.236591505,14372
Finland,1970,45033.95372,0,4605998,8.749315739,15505
Finland,1971,45813.02495,0,4622759,8.756417384,15809
Finland,1972,48708.30867,0,4644371,9.482799946,16914
Finland,1973,52422.88773,0,4668510,10.54875518,17946
Finland,1974,50984.15361,0,4691674,9.919275361,18394
Finland,1975,48634.45794,0,4711432,9.753815988,18523
Finland,1976,51868.16725,0,4726845,10.81408552,18389
Finland,1977,52523.96503,0,4739016,10.56200905,18383
Finland,1978,54248.40454,0,4750001,10.89164435,18713
Finland,1979,57725.91796,0,4762803,11.36728009,19964
Finland,1980,59855.44994,0,4779488,12.14213942,20964
Finland,1981,57389.26388,0,4800928,10.68722087,21264
Finland,1982,55887.89385,0,4826163,8.888492902,21831
Finland,1983,56101.4782,0,4853221,8.5278007,22288
Finland,1984,57109.3827,0,4879235,8.622275089,22838
Finland,1985,61288.84827,0,4902206,10.0890182,23511
Finland,1986,63762.38706,0,4921232,10.79330084,23992
Finland,1987,69322.85478,0,4937130,11.63149494,24903
Finland,1988,65016.77666,0,4951685,10.49335068,26046
Finland,1989,66914.82486,0,4967527,10.53789351,27434
Finland,1990,66192.97289,0,4986441,11.4020127,27306
Finland,1991,66788.58058,0,5009160,11.00296711,25551
